youtube.com,216.58.193.206
facebook.com,31.13.77.36
windows.com,104.40.211.35
apple.com,17.172.224.47
yahoo.co.jp,183.79.135.206
hao123.com,180.149.131.31
wordpress.com,192.0.78.17
amazon.com,205.251.242.103
tudou.com,106.11.186.1
ebay.com,66.211.162.12
pps.tv,101.227.188.174
xunlei.com,119.188.108.240
fc2.com,52.39.73.82
tmall.com,140.205.130.99
paypal.com,64.4.250.32
yahoo.com,206.190.39.42
about.com,151.101.1.121
live.com,204.79.197.212
wikipedia.org,198.35.26.96
hotmail.com,204.79.197.212
craigslist.org,208.82.237.129
weather.com,104.78.153.98
360.cn,36.110.213.49
alibaba.com,205.204.101.42
soku.com,106.11.47.20
renren.com,103.235.252.211
livedoor.jp,125.6.149.67
vkontakte.ru,95.213.4.229
rapidshare.com,10.11.12.13
answers.com,192.41.64.63
msn.com,13.82.28.61
blogger.com,216.58.193.201
sohu.com,220.181.90.20
rakuten.co.jp,133.237.61.176
baidu.com,123.125.114.144
blogspot.com,216.58.193.201
2345.com,42.62.30.180
microsoft.com,104.40.211.35
56.com,101.227.173.126
photobucket.com,209.17.68.100
sogou.com,118.191.216.42
mediafire.com,205.196.120.6
ku6.com,123.59.156.84
qq.com,61.135.157.156
yandex.ru,5.255.255.55
taobao.com,140.205.220.96
bbc.co.uk,212.58.246.78
myspace.com,63.135.90.70
mail.ru,94.100.180.201
ehow.com,23.227.11.12
orkut.com,216.239.32.21
bing.com,13.107.21.200
go.com,23.236.60.174
cnet.com,64.30.228.118
daum.net,211.231.99.17
orkut.com.br,
ifeng.com,210.51.19.63
7k7k.com,115.182.59.140
4399.com,118.184.184.70
goo.ne.jp,153.254.147.65
